score,probability
0,64.9%
1,62.4%
2,59.8%
3,57.1%
4,54.4%
5,51.7%
6,49.0%
7,46.3%
8,43.6%
9,41.0%
10,38.4%
11,35.8%
12,33.4%
13,31.0%
14,28.7%
15,26.5%
16,24.5%
17,22.5%
18,20.7%
19,19.0%
20,17.3%
21,15.8%
22,14.4%
23,13.1%
24,12.0%
25,10.9%
26,9.8%
27,8.9%
28,8.1%
29,7.3%
30,6.6%
31,6.0%
32,5.4%
33,4.9%
34,4.4%
35,3.9%
36,3.6%
37,3.2%
38,2.9%
39,2.6%
40,2.3%
41,2.1%
42,1.9%
43,1.7%
44,1.5%
45,1.4%
46,1.2%
47,1.1%
48,1.0%
49,0.9%
50,0.8%
51,0.7%
52,0.6%
53,0.6%
54,0.5%
55,0.5%
56,0.4%
57,0.4%
58,0.3%
59,0.3%
60,0.3%
61,0.2%
62,0.2%
63,0.2%
64,0.2%
65,0.2%
66,0.1%
67,0.1%
68,0.1%
69,0.1%
70,0.1%
71,0.1%
72,0.1%
73,0.1%
74,0.1%
75,0.1%
76,0.0%
77,0.0%
78,0.0%
79,0.0%
80,0.0%
81,0.0%
82,0.0%
83,0.0%
84,0.0%
85,0.0%
86,0.0%
87,0.0%
88,0.0%
89,0.0%
90,0.0%
91,0.0%
92,0.0%
93,0.0%
94,0.0%
95,0.0%
96,0.0%
97,0.0%
98,0.0%
99,0.0%
100,0.0%
